"event" "xdat" "time" "trial" "etype" "run"
"128" "EndTrial" 250 59.9 15 "end" 1
"132" "startFIX" 60 60.1 16 "start" 1
"134" "targetFIX" 160 60.75 16 "delay" 1
"136" "EndTrial" 250 61.4 16 "end" 1
"140" "startFIX" 60 61.6 17 "start" 1
"142" "targetFIX" 160 62.25 17 "delay" 1
"144" "EndTrial" 250 62.9 17 "end" 1
"148" "startFIX" 60 63.1 18 "start" 1
"150" "targetFIX" 160 63.75 18 "delay" 1
"152" "EndTrial" 250 64.4 18 "end" 1
"156" "startFIX" 60 64.6 19 "start" 1
"158" "targetFIX" 160 65.25 19 "delay" 1
"160" "EndTrial" 250 65.9 19 "end" 1
"164" "startFIX" 60 66.1 20 "start" 1
"166" "targetFIX" 160 66.75 20 "delay" 1
"168" "EndTrial" 250 67.4 20 "end" 1
"172" "LCLDstartEM" 30 67.6 21 "start" 1
"176" "LCLD532" 135 72 21 "delay" 1
"179" "EndTrial" 250 82.4 21 "end" 1
"183" "startFIX" 60 82.6 22 "start" 1
"185" "targetFIX" 160 83.25 22 "delay" 1
"187" "EndTrial" 250 83.9 22 "end" 1
"191" "startFIX" 60 84.1 23 "start" 1
"193" "targetFIX" 160 84.75 23 "delay" 1
"195" "EndTrial" 250 85.4 23 "end" 1
"199" "startFIX" 60 85.6 24 "start" 1
"201" "targetFIX" 160 86.25 24 "delay" 1
"203" "EndTrial" 250 86.9 24 "end" 1
"207" "SCLDstartEM" 50 87.1 25 "start" 1
"211" "SCLD7" 151 90 25 "delay" 1
"214" "EndTrial" 250 100.4 25 "end" 1
"218" "startFIX" 60 100.6 26 "start" 1
"220" "targetFIX" 160 101.25 26 "delay" 1
"222" "EndTrial" 250 101.9 26 "end" 1
"226" "startFIX" 60 102.1 27 "start" 1
"228" "targetFIX" 160 102.75 27 "delay" 1
"230" "EndTrial" 250 103.4 27 "end" 1
"234" "startFIX" 60 103.6 28 "start" 1
"236" "targetFIX" 160 104.25 28 "delay" 1
"238" "EndTrial" 250 104.9 28 "end" 1
"242" "startFIX" 60 105.1 29 "start" 1
"244" "targetFIX" 160 105.75 29 "delay" 1
"246" "EndTrial" 250 106.4 29 "end" 1
"250" "startFIX" 60 106.6 30 "start" 1
"252" "targetFIX" 160 107.25 30 "delay" 1
"254" "EndTrial" 250 107.9 30 "end" 1
"258" "startFIX" 60 108.1 31 "start" 1
"260" "targetFIX" 160 108.75 31 "delay" 1
"262" "EndTrial" 250 109.4 31 "end" 1
"266" "SCSDstartEM" 40 109.6 32 "start" 1
"270" "SCSD108" 142 112.5 32 "delay" 1
"273" "EndTrial" 250 115.4 32 "end" 1
"277" "startFIX" 60 115.6 33 "start" 1
"279" "targetFIX" 160 116.25 33 "delay" 1
"281" "EndTrial" 250 116.9 33 "end" 1
"285" "startFIX" 60 117.1 34 "start" 1
"287" "targetFIX" 160 117.75 34 "delay" 1
"289" "EndTrial" 250 118.4 34 "end" 1
"293" "LCSDstartEM" 20 118.6 35 "start" 1
"297" "LCSD426" 124 123 35 "delay" 1
"300" "EndTrial" 250 125.9 35 "end" 1
"304" "startFIX" 60 126.1 36 "start" 1
"306" "targetFIX" 160 126.75 36 "delay" 1
"308" "EndTrial" 250 127.4 36 "end" 1
"312" "startFIX" 60 127.6 37 "start" 1
"314" "targetFIX" 160 128.25 37 "delay" 1
"316" "EndTrial" 250 128.9 37 "end" 1
"320" "startFIX" 60 129.1 38 "start" 1
"322" "targetFIX" 160 129.75 38 "delay" 1
"324" "EndTrial" 250 130.4 38 "end" 1
"328" "startFIX" 60 130.6 39 "start" 1
"330" "targetFIX" 160 131.25 39 "delay" 1
"332" "EndTrial" 250 131.9 39 "end" 1
"336" "startFIX" 60 132.1 40 "start" 1
"338" "targetFIX" 160 132.75 40 "delay" 1
"340" "EndTrial" 250 133.4 40 "end" 1
"344" "startFIX" 60 133.6 41 "start" 1
"346" "targetFIX" 160 134.25 41 "delay" 1
"348" "EndTrial" 250 134.9 41 "end" 1
"352" "SCSDstartEM" 40 135.1 42 "start" 1
"356" "SCSD426" 144 138 42 "delay" 1
"359" "EndTrial" 250 140.9 42 "end" 1
"363" "startFIX" 60 141.1 43 "start" 1
"365" "targetFIX" 160 141.75 43 "delay" 1
"367" "EndTrial" 250 142.4 43 "end" 1
"371" "startFIX" 60 142.6 44 "start" 1
"373" "targetFIX" 160 143.25 44 "delay" 1
"375" "EndTrial" 250 143.9 44 "end" 1
"379" "startFIX" 60 144.1 45 "start" 1
"381" "targetFIX" 160 144.75 45 "delay" 1
"383" "EndTrial" 250 145.4 45 "end" 1
"387" "LCLDstartEM" 30 145.6 46 "start" 1
"391" "LCLD214" 133 150 46 "delay" 1
"394" "EndTrial" 250 160.4 46 "end" 1
"398" "startFIX" 60 160.6 47 "start" 1
"400" "targetFIX" 160 161.25 47 "delay" 1
"402" "EndTrial" 250 161.9 47 "end" 1
"406" "startFIX" 60 162.1 48 "start" 1
"408" "targetFIX" 160 162.75 48 "delay" 1
"410" "EndTrial" 250 163.4 48 "end" 1
"414" "LCSDstartEM" 20 163.6 49 "start" 1
"418" "LCSD633" 126 168 49 "delay" 1
"421" "EndTrial" 250 170.9 49 "end" 1
"425" "startFIX" 60 171.1 50 "start" 1
"427" "targetFIX" 160 171.75 50 "delay" 1
"429" "EndTrial" 250 172.4 50 "end" 1
"433" "startFIX" 60 172.6 51 "start" 1
"435" "targetFIX" 160 173.25 51 "delay" 1
"437" "EndTrial" 250 173.9 51 "end" 1
"441" "startFIX" 60 174.1 52 "start" 1
"443" "targetFIX" 160 174.75 52 "delay" 1
"445" "EndTrial" 250 175.4 52 "end" 1
"449" "LCLDstartEM" 30 175.6 53 "start" 1
"453" "LCLD426" 134 180 53 "delay" 1
"456" "EndTrial" 250 190.4 53 "end" 1
"460" "startFIX" 60 190.6 54 "start" 1
"462" "targetFIX" 160 191.25 54 "delay" 1
"464" "EndTrial" 250 191.9 54 "end" 1
"468" "startFIX" 60 192.1 55 "start" 1
"470" "targetFIX" 160 192.75 55 "delay" 1
"472" "EndTrial" 250 193.4 55 "end" 1
"476" "startFIX" 60 193.6 56 "start" 1
"478" "targetFIX" 160 194.25 56 "delay" 1
"480" "EndTrial" 250 194.9 56 "end" 1
"484" "startFIX" 60 195.1 57 "start" 1
"486" "targetFIX" 160 195.75 57 "delay" 1
"488" "EndTrial" 250 196.4 57 "end" 1
"492" "startFIX" 60 196.6 58 "start" 1
"494" "targetFIX" 160 197.25 58 "delay" 1
"496" "EndTrial" 250 197.9 58 "end" 1
"500" "SCLDstartEM" 50 198.1 59 "start" 1
"504" "SCLD108" 152 201 59 "delay" 1
"507" "EndTrial" 250 211.4 59 "end" 1
"511" "startFIX" 60 211.6 60 "start" 1
"513" "targetFIX" 160 212.25 60 "delay" 1
"515" "EndTrial" 250 212.9 60 "end" 1
"519" "startFIX" 60 213.1 61 "start" 1
"521" "targetFIX" 160 213.75 61 "delay" 1
"523" "EndTrial" 250 214.4 61 "end" 1
"527" "startFIX" 60 214.6 62 "start" 1
"529" "targetFIX" 160 215.25 62 "delay" 1
"531" "EndTrial" 250 215.9 62 "end" 1
"535" "startFIX" 60 216.1 63 "start" 1
"537" "targetFIX" 160 216.75 63 "delay" 1
"539" "EndTrial" 250 217.4 63 "end" 1
"543" "startFIX" 60 217.6 64 "start" 1
"545" "targetFIX" 160 218.25 64 "delay" 1
"547" "EndTrial" 250 218.9 64 "end" 1
"551" "startFIX" 60 219.1 65 "start" 1
"553" "targetFIX" 160 219.75 65 "delay" 1
"555" "EndTrial" 250 220.4 65 "end" 1
"559" "startFIX" 60 220.6 66 "start" 1
"561" "targetFIX" 160 221.25 66 "delay" 1
"563" "EndTrial" 250 221.9 66 "end" 1
"567" "SCSDstartEM" 40 222.1 67 "start" 1
"571" "SCSD7" 141 225 67 "delay" 1
"574" "EndTrial" 250 227.9 67 "end" 1
"578" "startFIX" 60 228.1 68 "start" 1
"580" "targetFIX" 160 228.75 68 "delay" 1
"582" "EndTrial" 250 229.4 68 "end" 1
"586" "startFIX" 60 229.6 69 "start" 1
"588" "targetFIX" 160 230.25 69 "delay" 1
"590" "EndTrial" 250 230.9 69 "end" 1
"594" "startFIX" 60 231.1 70 "start" 1
"596" "targetFIX" 160 231.75 70 "delay" 1
"598" "EndTrial" 250 232.4 70 "end" 1
"602" "startFIX" 60 232.6 71 "start" 1
"604" "targetFIX" 160 233.25 71 "delay" 1
"606" "EndTrial" 250 233.9 71 "end" 1
"610" "startFIX" 60 234.1 72 "start" 1
"612" "targetFIX" 160 234.75 72 "delay" 1
"614" "EndTrial" 250 235.4 72 "end" 1
"618" "LCSDstartEM" 20 235.6 73 "start" 1
"622" "LCSD532" 125 240 73 "delay" 1
"625" "EndTrial" 250 242.9 73 "end" 1
"629" "startFIX" 60 243.1 74 "start" 1
"631" "targetFIX" 160 243.75 74 "delay" 1
"633" "EndTrial" 250 244.4 74 "end" 1
"637" "startFIX" 60 244.6 75 "start" 1
"639" "targetFIX" 160 245.25 75 "delay" 1
"641" "EndTrial" 250 245.9 75 "end" 1
"645" "startFIX" 60 246.1 76 "start" 1
"647" "targetFIX" 160 246.75 76 "delay" 1
"649" "EndTrial" 250 247.4 76 "end" 1
"653" "LCLDstartEM" 30 247.6 77 "start" 1
"657" "LCLD108" 132 252 77 "delay" 1
"660" "EndTrial" 250 262.4 77 "end" 1
"664" "startFIX" 60 262.6 78 "start" 1
"666" "targetFIX" 160 263.25 78 "delay" 1
"668" "EndTrial" 250 263.9 78 "end" 1
"672" "startFIX" 60 264.1 79 "start" 1
"674" "targetFIX" 160 264.75 79 "delay" 1
"676" "EndTrial" 250 265.4 79 "end" 1
"680" "startFIX" 60 265.6 80 "start" 1
"682" "targetFIX" 160 266.25 80 "delay" 1
"684" "EndTrial" 250 266.9 80 "end" 1
"688" "startFIX" 60 267.1 81 "start" 1
"690" "targetFIX" 160 267.75 81 "delay" 1
"692" "EndTrial" 250 268.4 81 "end" 1
"696" "SCLDstartEM" 50 268.6 82 "start" 1
"700" "SCLD532" 155 271.5 82 "delay" 1
"703" "EndTrial" 250 281.9 82 "end" 1
"707" "startFIX" 60 282.1 83 "start" 1
"709" "targetFIX" 160 282.75 83 "delay" 1
"711" "EndTrial" 250 283.4 83 "end" 1
"715" "startFIX" 60 283.6 84 "start" 1
"717" "targetFIX" 160 284.25 84 "delay" 1
"719" "EndTrial" 250 284.9 84 "end" 1
"723" "SCSDstartEM" 40 285.1 85 "start" 1
"727" "SCSD633" 146 288 85 "delay" 1
"730" "EndTrial" 250 290.9 85 "end" 1
"734" "startFIX" 60 291.1 86 "start" 1
"736" "targetFIX" 160 291.75 86 "delay" 1
"738" "EndTrial" 250 292.4 86 "end" 1
"742" "startFIX" 60 292.6 87 "start" 1
"744" "targetFIX" 160 293.25 87 "delay" 1
"746" "EndTrial" 250 293.9 87 "end" 1
"750" "startFIX" 60 294.1 88 "start" 1
"752" "targetFIX" 160 294.75 88 "delay" 1
"754" "EndTrial" 250 295.4 88 "end" 1
"758" "startFIX" 60 295.6 89 "start" 1
"760" "targetFIX" 160 296.25 89 "delay" 1
"762" "EndTrial" 250 296.9 89 "end" 1
"766" "startFIX" 60 297.1 90 "start" 1
"768" "targetFIX" 160 297.75 90 "delay" 1
"770" "EndTrial" 250 298.4 90 "end" 1
"774" "LCSDstartEM" 20 298.6 91 "start" 1
"778" "LCSD214" 123 303 91 "delay" 1
"781" "EndTrial" 250 305.9 91 "end" 1
"785" "startFIX" 60 306.1 92 "start" 1
"787" "targetFIX" 160 306.75 92 "delay" 1
"789" "EndTrial" 250 307.4 92 "end" 1
"793" "startFIX" 60 307.6 93 "start" 1
"795" "targetFIX" 160 308.25 93 "delay" 1
"797" "EndTrial" 250 308.9 93 "end" 1
"801" "startFIX" 60 309.1 94 "start" 1
"803" "targetFIX" 160 309.75 94 "delay" 1
"805" "EndTrial" 250 310.4 94 "end" 1
"809" "SCLDstartEM" 50 310.6 95 "start" 1
"813" "SCLD633" 156 313.5 95 "delay" 1
"816" "EndTrial" 250 323.9 95 "end" 1
"820" "startFIX" 60 324.1 96 "start" 1
"822" "targetFIX" 160 324.75 96 "delay" 1
"824" "EndTrial" 250 325.4 96 "end" 1
"828" "startFIX" 60 325.6 97 "start" 1
"830" "targetFIX" 160 326.25 97 "delay" 1
"832" "EndTrial" 250 326.9 97 "end" 1
"836" "startFIX" 60 327.1 98 "start" 1
"838" "targetFIX" 160 327.75 98 "delay" 1
"840" "EndTrial" 250 328.4 98 "end" 1
"844" "startFIX" 60 328.6 99 "start" 1
"846" "targetFIX" 160 329.25 99 "delay" 1
"848" "EndTrial" 250 329.9 99 "end" 1
"852" "startFIX" 60 330.1 100 "start" 1
"854" "targetFIX" 160 330.75 100 "delay" 1
"856" "EndTrial" 250 331.4 100 "end" 1
"860" "SCSDstartEM" 40 331.6 101 "start" 1
"864" "SCSD532" 145 334.5 101 "delay" 1
"867" "EndTrial" 250 337.4 101 "end" 1
"871" "startFIX" 60 337.6 102 "start" 1
"873" "targetFIX" 160 338.25 102 "delay" 1
"875" "EndTrial" 250 338.9 102 "end" 1
"879" "startFIX" 60 339.1 103 "start" 1
"881" "targetFIX" 160 339.75 103 "delay" 1
"883" "EndTrial" 250 340.4 103 "end" 1
"887" "startFIX" 60 340.6 104 "start" 1
"889" "targetFIX" 160 341.25 104 "delay" 1
"891" "EndTrial" 250 341.9 104 "end" 1
"895" "startFIX" 60 342.1 105 "start" 1
"897" "targetFIX" 160 342.75 105 "delay" 1
"899" "EndTrial" 250 343.4 105 "end" 1
"903" "startFIX" 60 343.6 106 "start" 1
"905" "targetFIX" 160 344.25 106 "delay" 1
"907" "EndTrial" 250 344.9 106 "end" 1
"911" "startFIX" 60 345.1 107 "start" 1
"913" "targetFIX" 160 345.75 107 "delay" 1
"915" "EndTrial" 250 346.4 107 "end" 1
"919" "startFIX" 60 346.6 108 "start" 1
"921" "targetFIX" 160 347.25 108 "delay" 1
"923" "EndTrial" 250 347.9 108 "end" 1
"927" "startFIX" 60 348.1 109 "start" 1
"929" "targetFIX" 160 348.75 109 "delay" 1
"931" "EndTrial" 250 349.4 109 "end" 1
"31" "SCLDstartEM" 50 6.1 1 "start" 2
"71" "SCLD532" 155 9 1 "delay" 2
"103" "EndTrial" 250 19.4 1 "end" 2
"141" "startFIX" 60 19.6 2 "start" 2
"162" "targetFIX" 160 20.25 2 "delay" 2
"181" "EndTrial" 250 20.9 2 "end" 2
"224" "startFIX" 60 21.1 3 "start" 2
"243" "targetFIX" 160 21.75 3 "delay" 2
"263" "EndTrial" 250 22.4 3 "end" 2
"302" "startFIX" 60 22.6 4 "start" 2
"321" "targetFIX" 160 23.25 4 "delay" 2
"341" "EndTrial" 250 23.9 4 "end" 2
"382" "SCLDstartEM" 50 24.1 5 "start" 2
"423" "SCLD214" 153 27 5 "delay" 2
"45" "EndTrial" 250 37.4 5 "end" 2
"49" "startFIX" 60 37.6 6 "start" 2
"51" "targetFIX" 160 38.25 6 "delay" 2
"53" "EndTrial" 250 38.9 6 "end" 2
"57" "startFIX" 60 39.1 7 "start" 2
"59" "targetFIX" 160 39.75 7 "delay" 2
"61" "EndTrial" 250 40.4 7 "end" 2
"65" "startFIX" 60 40.6 8 "start" 2
"67" "targetFIX" 160 41.25 8 "delay" 2
"694" "EndTrial" 250 41.9 8 "end" 2
"732" "LCSDstartEM" 20 42.1 9 "start" 2
"771" "LCSD426" 124 46.5 9 "delay" 2
"80" "EndTrial" 250 49.4 9 "end" 2
"84" "startFIX" 60 49.6 10 "start" 2
"86" "targetFIX" 160 50.25 10 "delay" 2
"88" "EndTrial" 250 50.9 10 "end" 2
"92" "startFIX" 60 51.1 11 "start" 2
"94" "targetFIX" 160 51.75 11 "delay" 2
"96" "EndTrial" 250 52.4 11 "end" 2
"100" "startFIX" 60 52.6 12 "start" 2
"102" "targetFIX" 160 53.25 12 "delay" 2
"104" "EndTrial" 250 53.9 12 "end" 2
"108" "SCSDstartEM" 40 54.1 13 "start" 2
"112" "SCSD7" 141 57 13 "delay" 2
"115" "EndTrial" 250 59.9 13 "end" 2
"119" "startFIX" 60 60.1 14 "start" 2
"121" "targetFIX" 160 60.75 14 "delay" 2
"123" "EndTrial" 250 61.4 14 "end" 2
"127" "startFIX" 60 61.6 15 "start" 2
"129" "targetFIX" 160 62.25 15 "delay" 2
"131" "EndTrial" 250 62.9 15 "end" 2
"135" "startFIX" 60 63.1 16 "start" 2
"137" "targetFIX" 160 63.75 16 "delay" 2
"139" "EndTrial" 250 64.4 16 "end" 2
"143" "startFIX" 60 64.6 17 "start" 2
"145" "targetFIX" 160 65.25 17 "delay" 2
"147" "EndTrial" 250 65.9 17 "end" 2
"151" "startFIX" 60 66.1 18 "start" 2
"153" "targetFIX" 160 66.75 18 "delay" 2
"155" "EndTrial" 250 67.4 18 "end" 2
"159" "startFIX" 60 67.6 19 "start" 2
"161" "targetFIX" 160 68.25 19 "delay" 2
"163" "EndTrial" 250 68.9 19 "end" 2
"167" "SCSDstartEM" 40 69.1 20 "start" 2
"171" "SCSD532" 145 72 20 "delay" 2
"174" "EndTrial" 250 74.9 20 "end" 2
"178" "startFIX" 60 75.1 21 "start" 2
"180" "targetFIX" 160 75.75 21 "delay" 2
"182" "EndTrial" 250 76.4 21 "end" 2
"186" "startFIX" 60 76.6 22 "start" 2
"188" "targetFIX" 160 77.25 22 "delay" 2
"190" "EndTrial" 250 77.9 22 "end" 2
"194" "LCSDstartEM" 20 78.1 23 "start" 2
"198" "LCSD108" 122 82.5 23 "delay" 2
"2011" "EndTrial" 250 85.4 23 "end" 2
"205" "startFIX" 60 85.6 24 "start" 2
"2071" "targetFIX" 160 86.25 24 "delay" 2
"209" "EndTrial" 250 86.9 24 "end" 2
"213" "startFIX" 60 87.1 25 "start" 2
"215" "targetFIX" 160 87.75 25 "delay" 2
"217" "EndTrial" 250 88.4 25 "end" 2
"221" "startFIX" 60 88.6 26 "start" 2
"223" "targetFIX" 160 89.25 26 "delay" 2
"225" "EndTrial" 250 89.9 26 "end" 2
"229" "startFIX" 60 90.1 27 "start" 2
"231" "targetFIX" 160 90.75 27 "delay" 2
"233" "EndTrial" 250 91.4 27 "end" 2
"237" "LCLDstartEM" 30 91.6 28 "start" 2
"241" "LCLD214" 133 96 28 "delay" 2
"2441" "EndTrial" 250 106.4 28 "end" 2
"248" "startFIX" 60 106.6 29 "start" 2
"2501" "targetFIX" 160 107.25 29 "delay" 2
"2521" "EndTrial" 250 107.9 29 "end" 2
"256" "startFIX" 60 108.1 30 "start" 2
"2581" "targetFIX" 160 108.75 30 "delay" 2
"2601" "EndTrial" 250 109.4 30 "end" 2
"264" "startFIX" 60 109.6 31 "start" 2
"2661" "targetFIX" 160 110.25 31 "delay" 2
"268" "EndTrial" 250 110.9 31 "end" 2
"272" "startFIX" 60 111.1 32 "start" 2
"274" "targetFIX" 160 111.75 32 "delay" 2
"276" "EndTrial" 250 112.4 32 "end" 2
"280" "startFIX" 60 112.6 33 "start" 2
"282" "targetFIX" 160 113.25 33 "delay" 2
"284" "EndTrial" 250 113.9 33 "end" 2
"288" "SCLDstartEM" 50 114.1 34 "start" 2
"292" "SCLD7" 151 117 34 "delay" 2
"295" "EndTrial" 250 127.4 34 "end" 2
"299" "startFIX" 60 127.6 35 "start" 2
"301" "targetFIX" 160 128.25 35 "delay" 2
"303" "EndTrial" 250 128.9 35 "end" 2
"307" "startFIX" 60 129.1 36 "start" 2
"309" "targetFIX" 160 129.75 36 "delay" 2
"311" "EndTrial" 250 130.4 36 "end" 2
"315" "LCLDstartEM" 30 130.6 37 "start" 2
"319" "LCLD426" 134 135 37 "delay" 2
"3221" "EndTrial" 250 145.4 37 "end" 2
"326" "startFIX" 60 145.6 38 "start" 2
"3281" "targetFIX" 160 146.25 38 "delay" 2
"3301" "EndTrial" 250 146.9 38 "end" 2
"334" "startFIX" 60 147.1 39 "start" 2
"3361" "targetFIX" 160 147.75 39 "delay" 2
"3381" "EndTrial" 250 148.4 39 "end" 2
"342" "startFIX" 60 148.6 40 "start" 2
"3441" "targetFIX" 160 149.25 40 "delay" 2
"3461" "EndTrial" 250 149.9 40 "end" 2
"350" "LCSDstartEM" 20 150.1 41 "start" 2
"354" "LCSD214" 123 154.5 41 "delay" 2
"357" "EndTrial" 250 157.4 41 "end" 2
"361" "startFIX" 60 157.6 42 "start" 2
"3631" "targetFIX" 160 158.25 42 "delay" 2
"3651" "EndTrial" 250 158.9 42 "end" 2
"369" "startFIX" 60 159.1 43 "start" 2
"3711" "targetFIX" 160 159.75 43 "delay" 2
"3731" "EndTrial" 250 160.4 43 "end" 2
"377" "startFIX" 60 160.6 44 "start" 2
"3791" "targetFIX" 160 161.25 44 "delay" 2
"3811" "EndTrial" 250 161.9 44 "end" 2
"385" "startFIX" 60 162.1 45 "start" 2
"3871" "targetFIX" 160 162.75 45 "delay" 2
"389" "EndTrial" 250 163.4 45 "end" 2
"393" "startFIX" 60 163.6 46 "start" 2
"395" "targetFIX" 160 164.25 46 "delay" 2
"397" "EndTrial" 250 164.9 46 "end" 2
"401" "LCSDstartEM" 20 165.1 47 "start" 2
"405" "LCSD532" 125 169.5 47 "delay" 2
"4081" "EndTrial" 250 172.4 47 "end" 2
"412" "startFIX" 60 172.6 48 "start" 2
"4141" "targetFIX" 160 173.25 48 "delay" 2
"416" "EndTrial" 250 173.9 48 "end" 2
"420" "startFIX" 60 174.1 49 "start" 2
"422" "targetFIX" 160 174.75 49 "delay" 2
"424" "EndTrial" 250 175.4 49 "end" 2
"428" "startFIX" 60 175.6 50 "start" 2
"430" "targetFIX" 160 176.25 50 "delay" 2
"432" "EndTrial" 250 176.9 50 "end" 2
"436" "startFIX" 60 177.1 51 "start" 2
"438" "targetFIX" 160 177.75 51 "delay" 2
"440" "EndTrial" 250 178.4 51 "end" 2
"444" "startFIX" 60 178.6 52 "start" 2
"446" "targetFIX" 160 179.25 52 "delay" 2
"448" "EndTrial" 250 179.9 52 "end" 2
"452" "startFIX" 60 180.1 53 "start" 2
"454" "targetFIX" 160 180.75 53 "delay" 2
"4561" "EndTrial" 250 181.4 53 "end" 2
"4601" "LCLDstartEM" 30 181.6 54 "start" 2
"4641" "LCLD7" 131 186 54 "delay" 2
"467" "EndTrial" 250 196.4 54 "end" 2
"471" "startFIX" 60 196.6 55 "start" 2
"473" "targetFIX" 160 197.25 55 "delay" 2
"475" "EndTrial" 250 197.9 55 "end" 2
"479" "startFIX" 60 198.1 56 "start" 2
"481" "targetFIX" 160 198.75 56 "delay" 2
"483" "EndTrial" 250 199.4 56 "end" 2
"487" "startFIX" 60 199.6 57 "start" 2
"489" "targetFIX" 160 200.25 57 "delay" 2
"491" "EndTrial" 250 200.9 57 "end" 2
"495" "startFIX" 60 201.1 58 "start" 2
"497" "targetFIX" 160 201.75 58 "delay" 2
"499" "EndTrial" 250 202.4 58 "end" 2
"503" "startFIX" 60 202.6 59 "start" 2
"505" "targetFIX" 160 203.25 59 "delay" 2
"5071" "EndTrial" 250 203.9 59 "end" 2
"5111" "startFIX" 60 204.1 60 "start" 2
"5131" "targetFIX" 160 204.75 60 "delay" 2
"5151" "EndTrial" 250 205.4 60 "end" 2
"5191" "startFIX" 60 205.6 61 "start" 2
"5211" "targetFIX" 160 206.25 61 "delay" 2
"5231" "EndTrial" 250 206.9 61 "end" 2
"5271" "LCSDstartEM" 20 207.1 62 "start" 2
"5311" "LCSD633" 126 211.5 62 "delay" 2
"534" "EndTrial" 250 214.4 62 "end" 2
"538" "startFIX" 60 214.6 63 "start" 2
"540" "targetFIX" 160 215.25 63 "delay" 2
"542" "EndTrial" 250 215.9 63 "end" 2
"546" "startFIX" 60 216.1 64 "start" 2
"548" "targetFIX" 160 216.75 64 "delay" 2
"550" "EndTrial" 250 217.4 64 "end" 2
"554" "startFIX" 60 217.6 65 "start" 2
"556" "targetFIX" 160 218.25 65 "delay" 2
"558" "EndTrial" 250 218.9 65 "end" 2
"562" "startFIX" 60 219.1 66 "start" 2
"564" "targetFIX" 160 219.75 66 "delay" 2
"566" "EndTrial" 250 220.4 66 "end" 2
"570" "startFIX" 60 220.6 67 "start" 2
"572" "targetFIX" 160 221.25 67 "delay" 2
"5741" "EndTrial" 250 221.9 67 "end" 2
"5781" "startFIX" 60 222.1 68 "start" 2
"5801" "targetFIX" 160 222.75 68 "delay" 2
"5821" "EndTrial" 250 223.4 68 "end" 2
"5861" "startFIX" 60 223.6 69 "start" 2
"5881" "targetFIX" 160 224.25 69 "delay" 2
"5901" "EndTrial" 250 224.9 69 "end" 2
"5941" "SCLDstartEM" 50 225.1 70 "start" 2
"5981" "SCLD633" 156 228 70 "delay" 2
"601" "EndTrial" 250 238.4 70 "end" 2
"605" "startFIX" 60 238.6 71 "start" 2
"607" "targetFIX" 160 239.25 71 "delay" 2
"609" "EndTrial" 250 239.9 71 "end" 2
"613" "startFIX" 60 240.1 72 "start" 2
"615" "targetFIX" 160 240.75 72 "delay" 2
"617" "EndTrial" 250 241.4 72 "end" 2
"621" "startFIX" 60 241.6 73 "start" 2
"623" "targetFIX" 160 242.25 73 "delay" 2
"6251" "EndTrial" 250 242.9 73 "end" 2
"6291" "startFIX" 60 243.1 74 "start" 2
"6311" "targetFIX" 160 243.75 74 "delay" 2
"6331" "EndTrial" 250 244.4 74 "end" 2
"6371" "startFIX" 60 244.6 75 "start" 2
"6391" "targetFIX" 160 245.25 75 "delay" 2
"6411" "EndTrial" 250 245.9 75 "end" 2
